Date_ID,LabID,CRA,Error,DC13,OthMeasures,DateMethod,Material,Species,OthSiteID,OldSiteID,SiteID,IndID,SiteName,SiteContext,SiteType,TmpType,AdminRegion,Country,CaseStudyArea,Disarticulated,Cremation,Longitude,Latitude,LocQual,Source,Comments,Othersources,AnnaComment,aDNAOlalde
211315,SUERC-16638,3775,35,-26.6,NA,AMS,bone (cremated),Homo sapiens,Canmore 22480,NA,202523,,Acharn,NA,Cairn(s),"burial(cremation,unurned);cemetery;cist;cairn(round)","Highland, Scotland",Scotland,NA,N/A,Yes,-5.7525,56.5897,B,http://canmore.org.uk/c14sample/SUERC-16638,"A piece of cremated bone found among disturbed material in Cist 1 under Cairn 2 with unworked flint and quartz flakes and small pieces of charcoal. From information compiled by Patrick Ashmore.; DES 2008, 201: date given as 3755<U+00B1>35 all other details the same",NA,NA,NA
211314,SUERC-16637,3505,35,-24.1,NA,AMS,bone,Homo sapiens,Canmore 22480,202523,202523,,Acharn,NA,Cairn(s),"burial(cremation,unurned);cemetery;cairn(round)","Highland, Scotland",Scotland,NA,N/A,Yes,-5.7525,56.5897,B,http://canmore.org.uk/c14sample/SUERC-16637,"A piece of cremated bone in a pit 3m to the east of Cairn 1. Found with charcoal and earth, a calcined bone toggle or pin-head, smoothed stone and several flint flakes. A previous date, SRR-594 3264+/-110 (after amendation to take account of technical limitations of measurement) for material in this pit was obtained from mixed charcoal Ritchie et al 1975, 17. Although the date overlaps at 2 sigma the age is significantly different (and probably should be ignored). From information compiled by Patrick Ashmore.",NA,NA,NA
Olalde63,SUERC-71005,3827,33,-21.4,?15N (<U+0089>):11.4,NA,bone,Homo sapiens,NA,NA,201193,201193,"Achavanich, Wick",SB529A2,NA,NA,"Highland, Scotland",Scotland,NA,No,No,-3.403508,58.364762,NA,"Olalde et al., 2018",NA,NA,NA,Y
200227,AA-26223,3150,70,-25.3,NA,NA,charcoal,Quercus,Canmore 5138,200055,200055,,Achinduich,NA,"Field System, Hut Circle(s)",NA,NA,Scotland,NA,N/A,Yes,-4.3992,57.9747,B,http://canmore.org.uk/c14sample/AA-26223,Oak charcoal in a layer was interpreted as a 'buried soil' underlying a soil bank enclosing a cremation cemetery. This layer overlay a sand layer interpreted as an ancient B horizon. The context represents a deep A' horizon sealed under a later bank. As such it was interpreted as a product of tillage. From information compiled by Patrick Ashmore.,NA,NA,NA
206390,GU-7273,3000,60,-27,NA,NA,charcoal,NA,Canmore 5138,200055,200055,,Achinduich,NA,"Field System, Hut Circle(s)",NA,NA,Scotland,NA,N/A,Yes,-4.3992,57.9747,B,http://canmore.org.uk/c14sample/GU-7273,"Birch, hazel and alder charcoal from the fill of a pit containing an urned cremation, which lay off centre, within an enclosed cremation cemetery. The pit was cut into the natural sands and gravels. The feature had been overlain by peat, which was removed by mechanical digger. A dense concentration of charcoal, believed to represent pyre debris. formed the principal component of the sediment. From information compiled by Patrick Ashmore.",NA,NA,NA
204191,GrA-26543,3660,40,-23.8,NA,AMS,bone (cremated),Homo sapiens,Canmore 23253,201819,201819,201819,Achnacreebeag,NA,Chambered Cairn,"burial(cremation,unurned,secondary);cemetery;cairn(chambered)","Argyll and Bute, Scotland",Scotland,NA,N/A,Yes,-5.3632,56.474,B,http://canmore.org.uk/c14sample/GrA-26543; Yvan Pailler Alison Sheridan. Bulletin de la Soci<e9>t<e9> pr<e9>historique fran<e7>aise Ann<e9>e 2009 Volume 106 Num<e9>ro 1 pp. 25-56,"Human cremated bones from among the blocking material of a chambered cairn (passage tomb); may be contemporary with four Beakers (nos 5___8; NMS X.EO 1018___21). Found among material blocking cannel coal/shale disc beads, flint scrapers, flakes, blade and chip. From information compiled by Patrick Ashmore.",NA,NA,NA
53872,OxA-V-2199-19,3748,29,NA,NA,AMS,bone,Homo sapiens,NA,14161,14161,14161-6,Acklam Wold,Burial 6,NA,NA,"East Riding of Yorkshire, England",England,Yorkshire Wolds,No,No,-0.7756,54.045,B,"Parker Pearson, M., Chamberlain, A.,Jay, M., Richards, M., Evans, J and Sheridan, A. (eds) Forthcoming. The Beaker People:  isotopes, mobility and diet in prehistoric Britain. Prehistoric Society monograph. Oxford: Oxbow.",NA,"Mortimer, 1095. Forty Years' Researches in British and Saxon Burial Mounds of East Yorkshire","Unclear what individual this refers to as only 4 individuals in Acklam Wold 124, which is the only Acklam Wold barrow included in the BPP",NA
44966,OxA-V-2197-50,3774,36,NA,NA,AMS,bone,Homo sapiens,"Sex:M;Age:mature adult,50",14161,14161,14161-4,Acklam Wold 124,Burial 4,grave,"burial(inhumation,articulated,crouched,Beaker);pit;cemetery;barrow(round)","East Riding of Yorkshire, England",England,Yorkshire Wolds,No,No,-0.7756,54.045,B,"Shepherd 2009 The V-bored Buttons of Great Britain and Ireland. Proceedings of the Prehistoric Society 75:335--369 (doi:10.1017/S0079497X00000396); Parker Pearson, M., Chamberlain, A.,Jay, M., Richards, M., Evans, J and Sheridan, A. (eds) Forthcoming. The Beaker People:  isotopes, mobility and diet in prehistoric Britain. Prehistoric Society monograph. Oxford: Oxbow.; Boulter, S. P. (2015) Flixton Park Quarry, Flixton, Suffolk, FLN 088 and FLN 090, Assessment 3b. Ipswich: Suffolk County Council Archaeological Service, SCCAS Rpt No. 2013/099. doi:10.5284/1035562",NA,"Mortimer, 1095. Forty Years' Researches in British and Saxon Burial Mounds of East Yorkshire",Name updated to include barrow number,NA
53876,OxA-V-2199-23,3698,30,NA,NA,AMS,bone,Homo sapiens,"Sex:F;Age:young adult,25",14161,14161,14161-3,Acklam Wold 124,Burial 3,NA,"burial(inhumation,articulated,crouched);pit;cemetery;barrow(round)","East Riding of Yorkshire, England",England,Yorkshire Wolds,No,No,-0.7756,54.045,B,"Parker Pearson, M., Chamberlain, A.,Jay, M., Richards, M., Evans, J and Sheridan, A. (eds) Forthcoming. The Beaker People:  isotopes, mobility and diet in prehistoric Britain. Prehistoric Society monograph. Oxford: Oxbow.",NA,"Mortimer, 1095. Forty Years' Researches in British and Saxon Burial Mounds of East Yorkshire",Name updated to include barrow number,NA
53875,OxA-V-2199-22,3610,30,NA,NA,AMS,bone,Homo sapiens,Sex:?M;Age:adult,14161,14161,14161-1,Acklam Wold 124,Burial 1,NA,"burial(inhumation,articulated);pit;cemetery;barrow(round)","East Riding of Yorkshire, England",England,Yorkshire Wolds,No,No,-0.7756,54.045,B,"Parker Pearson, M., Chamberlain, A.,Jay, M., Richards, M., Evans, J and Sheridan, A. (eds) Forthcoming. The Beaker People:  isotopes, mobility and diet in prehistoric Britain. Prehistoric Society monograph. Oxford: Oxbow.",NA,"Mortimer, 1095. Forty Years' Researches in British and Saxon Burial Mounds of East Yorkshire",Name updated to include barrow number,NA
57961,SUERC-35897,3400,30,-20.7,NA,NA,bone,Homo sapiens,NA,17317,17317,17317-0016,"ADT 016, Frith Cottage, Alderton","ADT 016, 0016",NA,NA,"Suffolk, England",England,NA,N/A,Yes,1.4119,52.025,B,"Boulter, S. P. (2011) ADT 016, FRith Cottage, Alderton, A Record of Archaeological Evaluation and Monitoring. Ipswich: Suffolk County Council Archaeological Service, SCCAS Rpt No. 2008/168. doi:10.5284/1012347",Adult. Lower limb. human bone (cremated).,NA,NA,NA
57962,SUERC-35898,3150,30,-20,NA,NA,bone,Homo sapiens,NA,17317,17317,17317-0017,"ADT 016, Frith Cottage, Alderton","ADT 016, 0017",NA,NA,"Suffolk, England",England,NA,N/A,Yes,1.4119,52.025,B,"Boulter, S. P. (2011) ADT 016, FRith Cottage, Alderton, A Record of Archaeological Evaluation and Monitoring. Ipswich: Suffolk County Council Archaeological Service, SCCAS Rpt No. 2008/168. doi:10.5284/1012347",Adult. Upper limb. human bone (cremated).,NA,NA,NA
55219,Beta-210124,3410,60,NA,NA,NA,charcoal,Quercus,Gwynned SMR 19659,16605,16605,16605,"Afon Wen, A497 Road Improvement Scheme",lower fill (9961) of pit with cremation urn SF4,cremation,NA,"Gwynedd, Wales",Wales,NA,N/A,Yes,-4.3078,52.9144,B,"Kenney, J. 2014. Gas Pipeline Replacement: Pwllheli to Blaenau Ffestiniog Report on archaeological mitigation Volume II (Gwynned Archaeological Trust Report 1136); www.museumwales.ac.uk/en/radiocarbon","Excavation of a 28m diameter ditch with a stone cairn at centre. Two burial pits at centre (Berks et al 2007, 4). Context contained inverted food vessel (SF4) and 2.5g cremated bone from ?adult ?male (Berks et al 2007, 8)Berks, T., Davidson, A., Kenney, J., Roberts, J. A. and Smith, G. 2007. A497 improvement: prehistoric sites in the vicinity of Abererch and Chwilog. Archaeology in the Wales 47, 3-17.",NA,NA,NA
211959,SUERC-4089,2695,40,-22.6,NA,NA,bone,Homo sapiens,Canmore 60767,204411,204411,,Aird,NA,Palisaded Settlement,NA,NA,Scotland,NA,N/A,Yes,-4.9685,54.8989,B,http://canmore.org.uk/c14sample/SUERC-4089,Bone apatite from cremated bone from fill 69 of a post hole. From information compiled by Patrick Ashmore.,NA,NA,NA
211960,SUERC-4090,2510,35,-22.1,NA,NA,bone,Homo sapiens,Canmore 60767,204411,204411,,Aird,NA,Palisaded Settlement,NA,NA,Scotland,NA,N/A,Yes,-4.9685,54.8989,B,http://canmore.org.uk/c14sample/SUERC-4090,Bone apatite from cremated bone from fill 112 of a post hole. From information compiled by Patrick Ashmore.,NA,NA,NA
53882,OxA-V-2199-35,3740,30,NA,NA,AMS,bone,Homo sapiens,NA,16493,1000002,1000002,Aldro 113,Burial 1 Sk. 50,NA,NA,"East Riding of Yorkshire, England",England,Yorkshire Wolds,No,No,-0.7814,54.057,C,"Parker Pearson, M., Chamberlain, A.,Jay, M., Richards, M., Evans, J and Sheridan, A. (eds) Forthcoming. The Beaker People:  isotopes, mobility and diet in prehistoric Britain. Prehistoric Society monograph. Oxford: Oxbow.",NA,NA,NA,NA
53890,OxA-V-2199-44,3795,32,NA,NA,AMS,bone,Homo sapiens,NA,16493,1000003,1000003-3,Aldro 116,Burial 3,NA,NA,"East Riding of Yorkshire, England",England,Yorkshire Wolds,Unknown,No,-0.7814,54.057,C,"Parker Pearson, M., Chamberlain, A.,Jay, M., Richards, M., Evans, J and Sheridan, A. (eds) Forthcoming. The Beaker People:  isotopes, mobility and diet in prehistoric Britain. Prehistoric Society monograph. Oxford: Oxbow.",NA,NA,NA,NA
53888,OxA-V-2199-42,3742,31,NA,NA,AMS,bone,Homo sapiens,NA,16493,1000003,1000003-6,Aldro 116,Burial 6,NA,NA,"East Riding of Yorkshire, England",England,Yorkshire Wolds,No,No,-0.7814,54.057,C,"Parker Pearson, M., Chamberlain, A.,Jay, M., Richards, M., Evans, J and Sheridan, A. (eds) Forthcoming. The Beaker People:  isotopes, mobility and diet in prehistoric Britain. Prehistoric Society monograph. Oxford: Oxbow.",NA,NA,NA,NA
53889,OxA-V-2199-43,3679,32,NA,NA,AMS,bone,Homo sapiens,NA,16493,1000003,1000003-2,Aldro 116,Burial 2,NA,NA,"East Riding of Yorkshire, England",England,Yorkshire Wolds,No,No,-0.7814,54.057,C,"Parker Pearson, M., Chamberlain, A.,Jay, M., Richards, M., Evans, J and Sheridan, A. (eds) Forthcoming. The Beaker People:  isotopes, mobility and diet in prehistoric Britain. Prehistoric Society monograph. Oxford: Oxbow.",NA,NA,NA,NA
53869,OxA-V-2199-16,3688,29,NA,NA,AMS,bone,Homo sapiens,NA,16493,1000004,1000004-1,Aldro 52,Sk fragmented at head of Burials 1 & 2,NA,NA,"East Riding of Yorkshire, England",England,Yorkshire Wolds,Yes,No,-0.7814,54.057,C,"Parker Pearson, M., Chamberlain, A.,Jay, M., Richards, M., Evans, J and Sheridan, A. (eds) Forthcoming. The Beaker People:  isotopes, mobility and diet in prehistoric Britain. Prehistoric Society monograph. Oxford: Oxbow.",NA,NA,NA,NA
53865,OxA-V-2197-52,3663,38,NA,NA,AMS,bone,Homo sapiens,NA,16493,1000004,1000004-3,Aldro 52,Burial 3,NA,NA,"East Riding of Yorkshire, England",England,Yorkshire Wolds,No,No,-0.7814,54.057,C,"Parker Pearson, M., Chamberlain, A.,Jay, M., Richards, M., Evans, J and Sheridan, A. (eds) Forthcoming. The Beaker People:  isotopes, mobility and diet in prehistoric Britain. Prehistoric Society monograph. Oxford: Oxbow.",NA,NA,NA,NA
Bloxam3,OxA-36703,3838,30,-21.38,NA,AMS,bone,Homo sapiens,NA,NA,1000005,1000005-1,Aldro 53,"MNI 5, commingled disarticulated remains. Date OxA-36703 from another individual in the same deposit",barrow (round),"burial(disarticulated,fragmentary,multiple,primary); barrow(round)","East Riding of Yorkshire, England",England,Yorkshire Wolds,Yes,No,-0.75312542,54.056215,A,Mortimer 1905; Bloxam PhD,NA,NA,NA,NA
Bloxam2,OxA-36702,3721,31,-21.5,NA,AMS,bone,Homo sapiens,NA,NA,1000005,1000005-2,Aldro 53,"MNI 5, commingled disarticulated remains. Date OxA-36703 from another individual in the same deposit",barrow (round),"burial(disarticulated,fragmentary,multiple,primary); barrow(round)","East Riding of Yorkshire, England",England,Yorkshire Wolds,Yes,No,-0.75312542,54.056215,A,Mortimer 1905; Bloxam PhD,NA,NA,NA,NA
53880,OxA-V-2199-32,4422,30,NA,NA,AMS,bone,Homo sapiens,NA,16493,16493,16493,Aldro C75,Burial 2,NA,NA,"East Riding of Yorkshire, England",England,Yorkshire Wolds,No,No,-0.7814,54.057,C,"Parker Pearson, M., Chamberlain, A.,Jay, M., Richards, M., Evans, J and Sheridan, A. (eds) Forthcoming. The Beaker People:  isotopes, mobility and diet in prehistoric Britain. Prehistoric Society monograph. Oxford: Oxbow.",NA,NA,NA,NA
53989,SUERC-26196,3800,30,NA,NA,NA,bone,Homo sapiens,NA,16543,16543,16543-1,Aldwincle,Burial 1,NA,NA,"Northamptonshire, England",England,NA,No,No,-0.5343,52.411,B,"Parker Pearson, M., Chamberlain, A.,Jay, M., Richards, M., Evans, J and Sheridan, A. (eds) Forthcoming. The Beaker People:  isotopes, mobility and diet in prehistoric Britain. Prehistoric Society monograph. Oxford: Oxbow.",NA,NA,NA,NA
53978,SUERC-26178,3790,30,NA,"Sex:M;Age:Middle adult,30-35",NA,bone,Homo sapiens,NA,NA,16543,16543-2,Aldwincle,Burial 2,NA,"burial(inhumation,disarticulated,burnt);associated(Beaker);barrow(round)","Northamptonshire, England",England,NA,Yes,No,-0.5343,52.411,B,"Parker Pearson, M., Chamberlain, A.,Jay, M., Richards, M., Evans, J and Sheridan, A. (eds) Forthcoming. The Beaker People:  isotopes, mobility and diet in prehistoric Britain. Prehistoric Society monograph. Oxford: Oxbow.",NA,NA,NA,NA
209397,OxA-7656,3995,45,-22.293,F14C:0.608+/-0.0034,AMS,bone,Homo sapiens,NA,NA,1000006,1000006,Alexandra Docks,"From gravel deposit below clay (Bell et al 2000, 69).",NA,NA,"Newport, Wales",Wales,NA,Yes,No,-2.9865,51.5516,C,www.museumwales.ac.uk/en/radiocarbon; https://c14.arch.ox.ac.uk/database/db.php; Higham et al. 2007. Archaeometry 49.S1.; http://www.c14.org.uk/publication.php?ref=AM32,"Stray find discovered during the extension of the docks (Bell et al 2000, 69)Bell, M., Caseldine, A. E. and Neumann, H. (2000) 'Prehistoric intertidal archaeology in the Welsh Severn Estuary'. York: Council for British Archaeology. Higham, T. F. G., Bronk Ramsey, C., Brock, F., Baker, D. and Ditchfield, P. (2007) 'Radiocarbon dates from the Oxford AMS system: Archaeometry datelist 32'. Archaeometry 49:S1, S1-S60. King, M. (2003) 'Unparalleled behaviour: Britain and Ireland during the 'Mesolithic' and 'Neolithic''. Oxford: British Archaeological Reports. Bell, M. (2007) 'Wetland-dryland relationships in the Severn Estuary and surroundings during tthe Mesolithic and Neolithic'. In J. Sidell and F. Haughey (eds), 'Neolithic archaeology in the intertidal zone'. Oxford: Oxbow Books, 26-47.; Sample: D8/74/1. Material: human.; Sample:D8/74/1. Higham, T. F. G., Bronk Ramsey, C., Brock, F., Baker, D., & Ditchfield, P. (2007). Radiocarbon dates from the oxford ams system: archaeometry datelist 32. Archaeometry, 49(S1), 1-60.",NA,NA,NA
219028,HAR-1811,3190,80,-22.5,NA,LSC/GPC,bone,Homo sapiens,EUROEVOL S6162,203608,203608,,Alfriston,"from the central burial, a young female, the other leg was submitted as sample HAR-942",4B;4H;Grave (mound) inhumation,NA,"East Sussex, England",England,NA,No,No,0.1405,50.8123,B,Jordan et al. 1994. Radiocarbon dates - from samples funded by English Heritage and dated before 1981. EH; Whittle et al. 2011. Gathering Time. (and related database via A. Bayliss and F. Healey).; http://radon-b.ufg.uni-kiel.de/samples/4328,"Sample: ALF I 2. Material: human bone. Initial Comment: From the primary burial; the other leg was submitted as sample HAR-942.; Jordan, D, Haddon-Reece, D, Bayliss, A 1994 'Radiocarbon dates: from samples funded by English Heritage and dated before 1981', London: English Heritage; Species identified by: T.P. O'Connor, Institute of Archaeology, University of London; Date species identified: 1974-5; Collected by: P.L. Drewett; Date collected: 1974; Submitted by: P.L. Drewett; Material: Human bone; Species: Articulated crouched burial of probably female adult. Relpicate of HAR-942.; Stratigraphy: Base of burial pit on axis of mound of oval barrow. Stratigraphic relation to mound uncertain because mound badly ploughed, and because of cut made into mound in area of grave in C19 (Drewett 1975, 121-7, figs 4, 5); Environment: In a chalk-cut grave under a mound of chalk, flint and earth on a well-drained chalk down.",NA,NA,NA
220685,HAR-942,2590,90,-23.5,NA,LSC/GPC,bone,Homo sapiens,EUROEVOL S6162,203608,203608,,Alfriston,"layer 17; from the central burial, a young female, the other leg was submitted as sample HAR-1811",4B;4H;5B;5H;Grave (mound) inhumation,NA,"East Sussex, England",England,NA,No,No,0.1405,50.8123,B,Jordan et al. 1994. Radiocarbon dates - from samples funded by English Heritage and dated before 1981. EH; Whittle et al. 2011. Gathering Time. (and related database via A. Bayliss and F. Healey).; http://radon-b.ufg.uni-kiel.de/samples/4327,"Sample: ALF4, submitted 011 26 November 1974. Material: human bone: leg bones,. Initial Comment: From lhe central burial. a young female; the other leg was subm itted as sample HAR-181 1.; Whittle et al 2011 (Gathering Time: dating the early Neolithic enclosures of Southern Britain and Ireland), 46, 54, 246-7, 253-4; Drewett 1975, 121-7, figs 4, 5; Species identified by: T.P. O'Connor, Institute of Archaeology, University of London; Date species identified: 1974-5; Collected by: P.L. Drewett; Date collected: 1974; Submitted by: P.L. Drewett; Material: Human bone; Species: Leg bones from articulated crouched burial probably female adult. (Drewett 1975, 126, 144-5, 151, fig. 8. pl XII). Replicate of HAR-1811; Stratigraphy: Base of burial pit on axis of mound of oval barrow. Stratigraphic relation to mound uncertain because mound badly ploughed, and because of cut made into mound in area of grave in C19 (Drewett 1975, 121-7, figs 4, 5); Environment: In a chalk-cut grave under a mound of chalk, flint and earth on a well-drained chalk down.",NA,NA,NA
65072,NZA-28252,3421,30,-19.4,NA,AMS,bone,Homo sapiens,NA,18763,18763,,"Allasdale Dunes, Barra","Grave 103, skeleton 111",NA,NA,"Western Isles, Scotland",Scotland,NA,No,No,-7.5105,56.9948,B,"Wessex Archaeology Allasdale Dunes, Barra Western Isles, Scotland Archaeological Evaluation and Assessment of Results Ref: 65305 October 2008",Human bone.,NA,NA,NA
65074,NZA-28254,3342,30,-19.5,NA,AMS,bone,Homo sapiens,NA,18763,18763,,"Allasdale Dunes, Barra","Grave 303, skeleton 302",NA,NA,"Western Isles, Scotland",Scotland,NA,Yes,No,-7.5105,56.9948,B,"Wessex Archaeology Allasdale Dunes, Barra Western Isles, Scotland Archaeological Evaluation and Assessment of Results Ref: 65305 October 2008",Human bone.,NA,NA,NA
211015,SUERC-10697,3435,35,-19.7,NA,AMS,bone,Homo sapiens,Canmore 293929,204217,18763,,"Allasdale Dunes, Barra",NA,"Burial(s), Cist(s), Stone Setting(s)","burial(inhumation,articulated,crouched);cist;cemetery(cist)","Western Isles, Scotland",Scotland,NA,No,No,-7.5105,56.9948,B,http://canmore.org.uk/c14sample/SUERC-10697,"Sample Unburnt Human Bone Context Cist 4, SK 1 [17]. From information compiled by SUERC.",NA,NA,NA
211016,SUERC-10698,3380,35,-19.3,NA,AMS,bone,Homo sapiens,Canmore 293929,204217,18763,,"Allasdale Dunes, Barra",NA,"Burial(s), Cist(s), Stone Setting(s)","burial(inhumation,articulated,crouched);cist;cemetery(cist)","Western Isles, Scotland",Scotland,NA,No,No,-7.5105,56.9948,B,http://canmore.org.uk/c14sample/SUERC-10698,Sample Unburnt Human Bone Context SK 2 [010]. From information compiled by SUERC.,NA,NA,NA
211019,SUERC-10704,3355,35,-19.5,Age:neonate,AMS,bone,Homo sapiens,Canmore 293929,204217,18763,,"Allasdale Dunes, Barra",NA,"Burial(s), Cist(s), Stone Setting(s)","burial(inhumation,articulated,crouched);cist;cemetery(cist)","Western Isles, Scotland",Scotland,NA,No,No,-7.5105,56.9948,B,http://canmore.org.uk/c14sample/SUERC-10704,Sample Unburnt Human Bone Context SK 4 Neonate 2 [024]. From information compiled by SUERC.,NA,NA,NA
211018,SUERC-10703,3330,35,-19.2,Age:neonate,AMS,bone,Homo sapiens,Canmore 293929,204217,18763,,"Allasdale Dunes, Barra",NA,"Burial(s), Cist(s), Stone Setting(s)","burial(inhumation,articulated,crouched);cist;cemetery(cist)","Western Isles, Scotland",Scotland,NA,No,No,-7.5105,56.9948,B,http://canmore.org.uk/c14sample/SUERC-10703,Sample Unburnt Human Bone Context SK 4 Neonate 1 [024]. From information compiled by SUERC.,NA,NA,NA
211017,SUERC-10702,3300,35,-19.2,Age:foetus,AMS,bone,Homo sapiens,Canmore 293929,204217,18763,,"Allasdale Dunes, Barra",NA,"Burial(s), Cist(s), Stone Setting(s)","burial(inhumation,articulated,crouched);cist;cemetery(cist)","Western Isles, Scotland",Scotland,NA,No,No,-7.5105,56.9948,B,http://canmore.org.uk/c14sample/SUERC-10702,Sample Unburnt Human Bone Context SK3 [003]. From information compiled by SUERC.,NA,NA,NA
D0119,OxA-26253,3713,28,-21.23,NA,NA,bone,Homo sapiens,NA,NA,1000007,1000007,Allerwash,NA,NA,"burial(inhumation,partial,disarticulated);cist","Northumberland, England",England,NA,Yes,No,-2.2031893,55.000103,NA,NA,NA,"Newman, T. G. and Miket, R. F. 1973. A Dagger-Grave at Allerwash, Newborough, Northumberland",NA,NA
